example_idx,original_chars,original_tokens,minimal_chars,minimal_tokens,moderate_chars,moderate_tokens,aggressive_chars,aggressive_tokens,json_tokens,minimal_reduction_pct,moderate_reduction_pct,aggressive_reduction_pct,original_snr,minimal_snr,moderate_snr,aggressive_snr
0,36748,11058,9269,2719,7385,2305,728,186,882,75.4114668113583,79.1553626333876,98.31795984807378,0.07976125881714596,0.3243839646929018,0.382646420824295,4.741935483870968
1,24331,7484,3569,968,3066,859,1287,327,326,87.06574024585782,88.52218065205773,95.63067878140032,0.0435595938001069,0.3367768595041322,0.37951105937136204,0.9969418960244648
2,48646,15665,16666,5888,10329,4485,1738,1100,949,62.413022661985316,71.36929460580913,92.977976380466,0.06058091286307054,0.16117527173913043,0.21159420289855072,0.8627272727272727
3,23076,5135,13402,3460,10824,2877,6444,1600,947,32.619279454722495,43.97273612463486,68.8412852969815,0.18442064264849076,0.27369942196531793,0.3291623218630518,0.591875
4,28919,8935,22662,7470,21113,7118,12025,4147,3153,16.39619473978735,20.33575825405708,53.58701734750979,0.3528819250139899,0.42208835341365464,0.44296150604102275,0.760308656860381
5,55968,16633,17953,5415,11063,3912,1143,410,860,67.44423735946611,76.48049059099381,97.53502074189863,0.05170444297480911,0.15881809787626963,0.2198364008179959,2.097560975609756
6,37502,11107,8949,2476,6709,1962,2429,634,443,77.70775186819124,82.33546412172504,94.29188799855946,0.03988475736022328,0.17891760904684975,0.22579001019367992,0.6987381703470031
7,9117,4476,6968,3730,6509,3588,5375,3103,2274,16.666666666666664,19.839142091152816,30.674709562109026,0.5080428954423593,0.6096514745308311,0.6337792642140468,0.7328391878826942
8,20020,6501,20568,5982,20520,5964,11661,3515,3951,7.983387171204425,8.260267651130594,45.931395169973854,0.6077526534379326,0.660481444332999,0.6624748490945674,1.1240398293029872
9,15576,4254,11426,3568,9523,3033,3631,1153,854,16.125999059708505,28.702397743300423,72.896097790315,0.2007522331922896,0.23934977578475336,0.2815694032311243,0.7406764960971379
10,17419,4238,11282,3026,9706,2664,7086,1806,1824,28.598395469561112,37.14016045304389,57.38555922605002,0.43039169419537515,0.6027759418374091,0.6846846846846847,1.0099667774086378
11,56107,14835,48538,12397,39821,10221,29557,7110,3330,16.434108527131784,31.102123356926192,52.07280080889788,0.224469160768453,0.26861337420343634,0.3257998238919871,0.46835443037974683
12,15270,6436,12374,5611,9745,4909,6556,3701,3562,12.818520820385338,23.725916718458674,42.49533871970168,0.5534493474207582,0.6348244519693459,0.7256060297412915,0.9624425830856526
13,20260,4746,12171,3345,11172,3126,9089,2460,2198,29.519595448798984,34.13400758533503,48.1668773704172,0.4631268436578171,0.657100149476831,0.7031349968010236,0.8934959349593496
14,22145,5502,14115,3929,11933,3401,9275,2525,2448,28.589603780443472,38.18611414031261,54.10759723736823,0.44492911668484186,0.6230593026215322,0.7197882975595413,0.9695049504950495
15,50747,13432,31344,11952,16857,8357,9020,5375,5015,11.0184633710542,37.7829064919595,59.98362120309708,0.37336212030970817,0.419595046854083,0.6000957281321049,0.9330232558139535
16,14170,5075,9768,3650,8106,3260,1543,718,884,28.078817733990146,35.76354679802955,85.85221674876847,0.1741871921182266,0.2421917808219178,0.27116564417177913,1.2311977715877438
17,162783,13374,10036,4927,7279,4275,5846,3724,2845,63.15986241962016,68.03499327052491,72.15492747121279,0.21272618513533723,0.5774304850822001,0.6654970760233918,0.7639634801288937
18,28811,8220,20860,6122,15238,3710,5564,1183,1228,25.523114355231147,54.866180048661796,85.60827250608273,0.14939172749391727,0.20058804312316236,0.3309973045822102,1.0380388841927304
19,26981,7004,20468,5648,19945,5514,14101,3900,3585,19.36036550542547,21.273557966876066,44.31753283837807,0.5118503712164477,0.6347379603399433,0.6501632208922742,0.9192307692307692
20,8729,4459,6979,3848,6548,3714,5492,3253,2476,13.702623906705536,16.70778201390446,27.046422964790306,0.5552814532406369,0.6434511434511434,0.6666666666666666,0.7611435597909622
21,50837,13460,31031,11850,16544,8255,9367,5541,4985,11.961367013372959,38.67013372956909,58.83358098068351,0.37035661218424965,0.42067510548523207,0.6038764385221078,0.8996571016062083
22,50379,18196,39475,17096,14507,4753,4840,1409,1103,6.0452846779512015,73.87887447790723,92.25653989887887,0.06061771817981974,0.06451801591015442,0.23206395960446033,0.7828246983676366
23,37645,11436,10494,3211,7542,2574,1166,416,615,71.9220006995453,77.49213011542497,96.36236446309898,0.05377754459601259,0.1915291186546247,0.23892773892773891,1.4783653846153846
24,10053,4171,7023,3030,6150,2775,4073,1890,1485,27.355550227763125,33.46919204027811,54.68712538959481,0.35602972908175495,0.4900990099009901,0.5351351351351351,0.7857142857142857
25,23245,7286,17331,5647,13745,4756,6286,2549,2687,22.495196266813068,34.72412846555037,65.01509744715894,0.36878945923689266,0.4758278732070126,0.5649705634987384,1.0541388779913692
26,17484,5806,15335,5317,12491,4624,5487,2329,2206,8.42232173613503,20.358250086117813,59.886324491904915,0.37995177402686875,0.41489561782960316,0.47707612456747406,0.9471876341777586
27,22952,6596,21738,6326,16234,4105,10369,2455,1944,4.093389933292901,37.765312310491204,62.78047301394785,0.29472407519708915,0.30730319317104016,0.4735688185140073,0.7918533604887984
28,22355,6624,20856,6153,17037,5164,1217,365,499,7.110507246376807,22.041062801932366,94.4897342995169,0.07533212560386474,0.08109865106452137,0.0966305189775368,1.367123287671233
29,33716,9543,22494,6592,20661,6084,1503,440,860,30.923189772608197,36.24646337629677,95.38929057948235,0.09011841140102693,0.1304611650485437,0.14135437212360288,1.9545454545454546
30,25049,6579,22579,6069,20268,5515,12994,3538,2924,7.751937984496127,16.172670618635053,46.22283021735826,0.4444444444444444,0.48179271708683474,0.5301903898458749,0.8264556246466931
31,15436,5806,9322,3798,7961,3351,5812,2726,2312,34.58491215983466,42.28384429900104,53.04857044436789,0.39820874956941094,0.6087414428646656,0.6899433005073112,0.8481291269258987
32,18136,6421,14356,5664,7212,3693,2816,1983,1687,11.789440897056537,42.4855941442143,69.11695997508176,0.26273166173493223,0.2978460451977401,0.4568101814243163,0.8507312153303076
33,21292,10898,19603,10316,17687,9686,12756,8096,1564,5.340429436593874,11.1213066617728,25.71113965865296,0.14351257111396587,0.15160915083365645,0.1614701631220318,0.19318181818181818
34,52005,13153,49020,12175,40265,10143,33060,8155,6883,7.4355660305633675,22.88451303885045,37.9989356040447,0.5233026685927165,0.5653388090349076,0.6785960761116041,0.8440220723482527
35,13764,5970,11731,5330,8935,4626,1860,1498,2261,10.720268006700163,22.512562814070346,74.90787269681742,0.37872696817420437,0.42420262664165104,0.48875918720276695,1.5093457943925233
36,13827,6614,12042,6045,6393,2900,3582,1885,1521,8.602963410946474,56.153613547021465,71.49984880556394,0.22996673722407016,0.25161290322580643,0.5244827586206896,0.8068965517241379
37,15588,6495,12463,5488,11223,5161,7029,3554,4625,15.504234026173979,20.53887605850654,45.280985373364125,0.7120862201693611,0.8427478134110787,0.8961441581088936,1.3013505908835115
38,39254,12404,35649,10908,28453,8940,1538,433,4959,12.06062560464366,27.926475330538537,96.50919058368268,0.39979039019671075,0.4546204620462046,0.5546979865771812,11.452655889145497
39,48772,11695,21261,9877,14225,7805,12996,7309,6047,15.545104745617788,33.26207781103035,37.50320649850364,0.517058572039333,0.6122304343424116,0.7747597693786035,0.8273361608975236
40,23973,8745,20808,7873,8355,4075,4807,2572,3520,9.971412235563182,53.4019439679817,70.58890794739851,0.4025157232704403,0.4470976756001524,0.8638036809815951,1.3685847589424571
41,56352,17262,42563,13331,26944,8240,5931,1713,1344,22.772564013439922,52.265090951222334,90.07646854362183,0.07785888077858881,0.10081764308754032,0.16310679611650486,0.7845884413309983
